번호,시도,시군구,운영주체,산후조리원,주소,전화번호,일반실,특실
246,경기,고양시,민간,사랑애산후조리원,"중앙로 1443, 가람빌딩 5층(주엽동)",031-911-0704,270,
247,경기,성남시,민간,㈜드팜므산후조리원(위례점),"성남시 수정구 위례서일로 12, 9층",031-755-5366,626,750
248,경기,성남시,민간,㈜ 드이자르산후조리원,성남시 수정구 성남대로 1202,031-757-6161,300,
249,경기,성남시,민간,위례포르투나산후조리원,성남시 수정구 위례광장로 41,031-756-0006,390,
250,경기,성남시,민간,신데렐라산후조리원,성남시 수정구 수정로 80,031-723-7776,300,350
251,경기,성남시,민간,㈜오르빛산후조리원,성남시 수정구 수정로 171번길 7-1,031-721-5700,240,280
252,경기,성남시,민간,곽생로여성병원부설산후조리원,성남시 수정구 수정로73번길 16-27,031-723-7266,359,379
253,경기,성남시,민간,맘스파크산후조리원,경기도성남시중원구자혜로17번길16,031-734-0005,290,310
254,경기,성남시,민간,분당제일산후조리원,성남시 분당구 서현로180번길 29 (서현동),031-781-3631,376,400
255,경기,성남시,민간,엄마손산후조리원,성남시 분당 야탑로  32,031-703-5550,210,240
256,경기,성남시,민간,포스피탈림산후조리원,성남시 분당구 서현로 180번길13 4층,031-603-9921,330,500
257,경기,성남시,민간,디에르산후조리원,성남시 정자일로 121 더샆스타파크쇼핑몰 2층 201호,031-717-7787,450,450
258,경기,성남시,민간,플로라산후조리원,성남시 분당구 새마을로 165번길 34,031-702-3377,420,490
259,경기,성남시,민간,더팰리스산후조리원,"성남시 분당구 황새울로200번길 36, 4층",031-711-6169,380,440
260,경기,성남시,민간,데시미늄BM산후조리원,성남시 분당구구미로191 아산웰빙프라자5층,031-718-8813,380,620
261,경기,성남시,민간,디아망산후조리원,성남시 분당구서현동중앙공원로40번길4혀대카스빌딩3층,031-701-3535,300,600
262,경기,성남시,민간,주)행복가득라크렘산후조리원,성남시 분당구 새마을로 231,031-706-9988,590,990
263,경기,성남시,민간,리움산후조리원, 성남시 분당구 판교역로192번길 14-2,031-8016-1173,429,489
264,경기,성남시,민간,마벨르산후조리원,"성남시 분당구 운중로128 마크시티그린8,9층",031-702-0077,400,450
265,경기,성남시,민간,분당차병원산후조리원,성남시 분당구 야탑로 65번길 16,031-780-2998,424,609
266,경기,화성시,민간,해피본산후조리원, 화성시 향남읍 행정중앙2로 69-17,031-8059-8866,300,360
267,경기,화성시,민간,지엠산후조리원, 화성시 봉담읍 삼천병마로 1344,031-278-7373,170, 
268,경기,화성시,민간,㈜마벨르산후조리원(화성동탄점),"화성시 영통로50번길 49, 반달마을두산위브 상가동 2층(반월동)",031-273-6644,410,
269,경기,화성시,민간,동탄제일산후조리원,"경기도 화성시 동탄중앙로 381-7, 5~7층",031-8015-1115,280,
270,경기,화성시,민간,미즈파크산후조리원,"동탄지성로 139,  2,5층",031-8015-9710,230,250
271,경기,화성시,민간,위대한탄생산후조리원,"동탄대로 537, 338~342호(라스플로레스 A동)",031-372-6762,340,
272,경기,화성시,민간,아이소리산후조리원,"동탄문화센터로 61, 3층(아시아프라자)",031-8015-2022,220,260
273,경기,화성시,민간,반송제일산후조리원,"동탄공원로24, 2~5층",031-8015-0115,240,
274,경기,화성시,민간,노블아이산후조리원,"동탄신리천로 254, 5층",031-8077-2292,500,550
275,경기,화성시,민간,동탄제일프리미엄산후조리원,"삼성1로 138, 5~7층",031-266-3535,380,450
276,경기,화성시,민간,드팜므산후조리원,"동탄영천로 118, 2~4층",031-548-1809,550,900
277,경기,부천시,민간,(주)서울여성산후조리원,"부천시 길주로84, 10층,11층 (상동)",032-230-7100,320,350
278,경기,부천시,민간,초앤유산후조리원,"부천시 중동로 248번길 19, 6층 (중동)",032-322-3380,290,370
279,경기,부천시,민간,삼성미래산후조리원,"부천시 부흥로 307번길 23, 8~9층 (중동)",032-322-7500,280,320
280,경기,부천시,민간,(주)더홈산후조리원,"부천시 길주로 251, 6층 (중동,1056-3) ",032-328-3630,320,420
281,경기,부천시,민간,친정산후조리원,부천시 부천로 110-1 한위빌딩 7층 (원미동),070-4993-0511,190,250
282,경기,부천시,민간,(주)로엔산후조리원,"부천시 길주로 307, 7층 701호(중동, 로얄프라자)",032-324-2100,300,
283,경기,남양주시,민간,더퍼스트산후조리원,"경기도 남양주시 별내2로74, js타워 4층",031-574-3335,340,
284,경기,남양주시,민간,조은산후조리원,경기도 남양주시 경춘로1256번길9 4층 403호,031-511-1187,270,
285,경기,남양주시,민간,메디피아산후조리원,경기도 남양주시 경춘로 1511,031-595-8400,200,
286,경기,안산시,민간,우성여성병원산후조리원,경기도 안산시 단원구 고잔로 58-10,031-412-3070,310,352
287,경기,안산시,민간,한빛산후조리원,경기도 안산시 단원구 광덕동로53,031-410-3316,310,
288,경기,안산시,민간,맘편한산후조리원,"경기도 안산시 단원구 원포공원2로35, 메가쇼핑5층",031-411-3552,350,500
289,경기,안산시,민간,라움산후조리원,경기도 안산시 단원구 광덕1로 195 광장타워 6층,031-485-5544,380,450
290,경기,안산시,민간,미즈피아산후조리원,안산시 상록구 샘골로 112. 2층(본오동),031-481-0077,210,
291,경기,평택시,민간,예일퀸스하우스산후조리원,경기도 평택시 중앙로 144,031-8054-7337,294,308
292,경기,평택시,민간,지엔산후조리원,경기도 평택시 비전5로 3,031-668-0075,308,351
293,경기,평택시,민간,라헨느산후조리원,경기도 평택시 평택5로 34번길 6-1,1670-9793,392,448
294,경기,평택시,민간,㈜럭셔리포레산후조리원,경기도 평택시 비전2로 121,031-651-8279,380,
295,경기,평택시,민간,안중산후조리원,경기도 평택시 안중읍 안중로 131번길 14-15,031-683-7366,270,
296,경기,평택시,민간,더네이처산후조리원,경기도 평택시 송탄로 260,031-668-3579,420,476
297,경기,안양시,민간,봄빛산후조리원,"경기도 안양시 동안구 평촌대로217번길 27 (호계동, 봄빛병원 8층)",031-380-7300,270,
298,경기,안양시,민간,봄빛병원부설 산후조리원1관,"경기도 안양시 동안구 시민대로 187 (비산동, 건설타워 5층 )",031-384-1010,230,350
299,경기,안양시,민간,봄빛병원부설 산후조리원 2관,"경기도 안양시 동안구 시민대로 214 (호계동, 다운타운 9층, 10층)",031-385-1012,270,500
300,경기,안양시,민간,노블맘산후조리원,"경기도 안양시 안양시 동안구 평촌대로211번길 16 (호계동, 동아월드프라자 10층)",031-386-1300,275,300
301,경기,안양시,민간,디어맘산후조리원,경기도 안양시 동안구 동편로 20번길 28,031-422-0081,270,
302,경기,안양시,민간,그랑베이산후조리원,"경기도 안양시 동안구 흥안대로 125, 7층(호계동, 동안빌딩)",031-427-1725,420,
303,경기,안양시,민간,제이에스산후조리원,경기도 안양시 동안구 흥안대로 94번길 68 3층,031-360-3980,500,900
304,경기,안양시,민간,벨라산후조리원,"경기도 안양시 만안구 예술공원로 153-32, 2층",031-8068-7788,370,
305,경기,시흥시,민간,예진산후조리원,경기도 시흥시 정왕대로 78 B동 4층,031-431-1134,270,290
306,경기,시흥시,민간,라임산후조리원,"경기도 시흥시 월곶해안로171, 3~4층",031-316-8800,230,
307,경기,김포시,민간,결한방산후조리원,김포한강1로 247 헤리움타운 7층,031-991-9933,350,430
308,경기,김포시,민간,스위트나리산후조리원,경기도 김포시 돌문로 99 2동 2~4층,031-982-5700,436,672
309,경기,김포시,민간,조은미래산후조리원,김포시 김포한강8로 396.지오타워 6-7층,031-992-6655,299,338
310,경기,김포시,민간,한강가온누리베누앙산후조리원,김포시태장로 808 7층 8층,031-8049-3535,480,750
311,경기,김포시,민간,이든산후조리원,"경기도 김포시 유현로52, 프라임빌상가 2층 일부호",031-981-2998,430,
312,경기,파주시,민간,와이즈산후조리원 , 파주시 금바위로 50,031-937-8858,320,
313,경기,파주시,민간,쉼산후조리원," 파주시 경의로 1114, 에펠타워 7층",031-947-9030,480,
314,경기,파주시,민간,뉴아모르산후조리원,파주시 와석순화로 133 형성프라자4층,031-946-9116,290,
315,경기,파주시,민간,드팜므산후조리원,경기 파주시 책향기로 836 아름터타워 8층,031-949-1265,650,900
316,경기,파주시,민간,라벨팜므산후조리원, 파주시 경의로 1100 5층,031-942-3535,470,640
317,경기,의정부시,민간,신여성병원부설 레디산후조리원,경기도 의정부시 신흥로239번길 40(의정부동),031-823-9197,320,350
318,경기,의정부시,민간,히아신스산후조리원,"경기도 의정부시 부용로 105, 6층(금오동, 프레티넘프라자2)",031-853-9115,450,530
319,경기,의정부시,민간,우먼피아산후조리원(민락점),"경기도 의정부시 오목로225번길 100, 7층(민락동, CY타워)",031-853-2030,,400
320,경기,의정부시,민간,우먼피아산후조리원,"경기도 의정부시 청사로5번길, 8,9층(신곡동, 씨티메디타운)",031-853-6767,250,270
321,경기,의정부시,민간,맘플러스산후조리원,"경기도 의정부시 신흥로 130, 3,4층(호원동, 온누리빌딩)",031-879-8434,330,
322,경기,의정부시,민간,카렌시아산후조리원,"경기도 의정부시 외미로 95, 7층(호원동, 하나프라자)",0507-1366-3025,300,
323,경기,광명시,민간,미래여성산후조리원,"경기도 광명시 범안로 1062, 천일빌딩 8~9층",02-807-1002,270,320
324,경기,광명시,민간,아베끄 산후조리원,"경기도 광명시 광명로 906, 현대빌딩 9층",02-2686-5800,300,360
325,경기,광명시,민간,지엠제일산후조리원,경기도 광명시 광명로 878(광명동),02-2616-2686,310,370
326,경기,광명시,민간,광명제일산후조리원(소하점),"경기도 광명시 소하로78, 신성프라자 4층",02-898-0898,260,
327,경기,광명시,민간,이즈맘산후조리원,"경기도 광명시 오리로 889, 7~8층(철산동)",02-2066-3555,250,280
328,경기,광명시,민간,레지나산후조리원,"경기도 광명시 소하로 109번길 22, 3~4층(소하동)",02-6218-1010,350,
329,경기,하남시,민간,미사린산후조리원,"경기도 하남시 미사강변대로 34번길 66, 5층",031-792-3355,330,420
330,경기,하남시,민간,트리시아산후조리원,"경기도 하남시 미사강변대로60 6,7층",031-794-0005,490,550
331,경기,하남시,민간,맘스프링산후조리원,경기도 하남시 덕풍동로 111-15,031-699-8177,300,
332,경기,하남시,민간,연세아란산후조리원,"경기도 하남시 미사강변대로54번길 121, 6,7층",031-793-7000,330,420
333,경기,군포시,민간,제일산후조리원,산본로386번길 4-11,031-390-3790,230,250
334,경기,군포시,민간,산본제일병원 부설 신산본산후조리원,경기도 군포시 산본로 386번길 4-19,031-390-1900,230,250
335,경기,군포시,민간,베네라산후조리원,경기도 군포시 산본로394,031-398-0721,330,
336,경기,군포시,민간,맘스포레산후조리원,경기도 군포시 산본로398 태주빌딩 7-8층,031-399-6522,330,
337,경기,오산시,민간,우먼필산후조리원, 오산시 대원로 24(원동),031-378-5949,360,
338,경기,오산시,민간,청율산후조리원," 오산시 경기대로 154, 6층",031-373-3568,230,250
339,경기,양주시,민간,그라티아산후조리원,양주시 고읍남로6-6 해동센트럴타워6층,031-856-7790,340,380
340,경기,양주시,민간,더올리비에르산후조리원,양주시 평화로1489번길 13,031-859-8866,350,380
341,경기,이천시,민간,YJB(양정분)산후조리원,"경기도 이천시 이섭대천로 1186(중리동,7층)",031-631-9170,290,350
342,경기,이천시,민간,마리나산부인과산후조리원,경기도 이천시 경충대로 2564(중리동),031-636-0552,300,350
343,경기,구리시,민간,마리본산후조리원,"구리시 건원대로 33번길 4, 3층/4층",031-551-2700,270,290
344,경기,구리시,민간,카렌시아산후조리원,"구리시 검배로 36, 현주아이프렌드 빌딩 6층",031-567-0012,280,
345,경기,구리시,민간,㈜리베산후조리원,"구리시 벌말로 145, 토평프라자 3층",031-514-4563,370,470
346,경기,구리시,민간,마더러브산후조리원,"구리시 아차산로 499, 티움B동 401호",031-564-3535,310,380
347,경기,의왕시,민간,라움산후조리원,"경기도 의왕시 포일세거리로10, 3층(포일동, 포일 프라임타워)",031-422-5155,340,390
348,경기,포천시,민간,더플라워산후조리원,경기도 포천시 소흘읍 솔모루로 55,031-542-1007,240,260
349,경기,포천시,지자체,경기포천공공산후조리원,경기도 포천시 군내면 청성로 111-1,031-536-7147,168,
350,경기,여주시,지자체,경기여주공공산후조리원,경기도 여주시 여흥로160번길 16,031-881-9500,168,
351,강원,춘천시,민간,아름다운산후조리원,강원특별자치도 춘천시터미널길21강남빌딩4층,033-241-7400,260,310
352,강원,춘천시,민간,호산후조리원,강원특별자치도 퇴계로 188 썬타워빌딩 6~7층,033-261-3317,280,290
353,강원,춘천시,민간,미래산후조리원,강원특별자치도 춘천시 중앙로 116,033-241-7677,285,305
354,강원,원주시,민간,미즈산후조리원,강원특별자치도 원주시 이화6길 1,033-733-3537,270,290
355,강원,원주시,민간,율산후조리원,강원특별자치도 원주시 능라동길 61 8층,033-765-0655,280,295
356,강원,원주시,민간,연세순풍산후조리원,강원특별자치도 원주시 장미공원길 43-6,033-745-7020,310,
357,강원,원주시,민간,㈜미래산후조리원,강원특별자치도 원주시 서원대로 402 6층,033-765-7900,230,250
358,강원,원주시,민간,㈜프리티가든산후조리원,강원특별자치도 원주시 영랑길 14-2 8층,033-901-5959,230,250
359,강원,강릉시,민간,세가온산후조리원,강원특별자치도 강릉시 율곡로 2982-6,033-643-8114,260,280
360,강원,강릉시,민간,행복누리산후조리원,강원특별자치도 강릉시 경강로 2109 문선빌딩 5층,033-641-6680,300,340
361,강원,강릉시,민간,아이앤맘산후조리원,"강원특별자치도 강릉시 옥가로 21, 지산빌딩 6층",033-643-9600,310,350
362,강원,동해시,민간,글로리아산후조리원,강원특별자치도 동해시 천곡로 86-2 (천곡동),033-532-0080,210,250
363,강원,동해시,민간,아이맘산후조리원,강원특별자치도 동해시 한섬로 113-7 (천곡동),033-532-8082,220,260
364,강원,삼척시,지자체,강원특별자치도삼척의료원공공산후조리원,강원특별자치도 삼척시 오십천로 418,033-570-7564,180,
365,강원,철원군,지자체,철원군공공산후조리원,강원특별자치도 철원군 갈말읍 명성로202-9,033-452-2990,179,179
366,강원,화천군,지자체,화천군공공산후조리원,강원특별자치도 화천군 화천읍 강변로 111,033-440-2370,180,
367,강원,양구군,지자체,양구군공공산후조리원,강원특별자치도 양구군 양구읍 중심로 152-64,033-482-2995,180,
368,충북,청주시,민간,삼성산후조리원 ,청주시 상당구 용암북로160번길 34-7,043-291-3582,163,203
369,충북,청주시,민간,민병열산부인과산후조리원,청주시 서원구 사직대로 101(사창동),043-262-8540,168,215
370,충북,청주시,민간,㈜모태안산후조리원,청주시 서원구 복대로 17번길 7-42(개신동),043-239-0002,225,325
371,충북,청주시,민간,하안유산후조리원,청주시 서원구 신화로 50(성화동),043-238-5900,344.5,383.5
372,충북,청주시,민간,청주미즈맘산후조리원,청주시 흥덕구 가경로16-2,043-237-2201,130,160
373,충북,청주시,민간,해피맘산후조리원,청주시 흥덕구 풍산로36(가경동),043-239-0221,150,
374,충북,청주시,민간,다나산후조리원,청주시 청원구 충청대로179(8-9층),043-284-3535,255,325
375,충북,청주시,민간,미즈산후조리원,청주시 청원구 오창읍 중심상업로17 오창프라자Ⅱ),043-241-3020,210,
376,충북,충주시,민간,㈜모스트산후조리원,"충주시 사천개1길 2 청보테라스타워7,8층",043-855-8886,350,390
377,충남,천안시,민간,퀸스산후조리원,충남 천안시 서북구 성정공원1길 9-13,041-902-1000,280,350
378,충남,천안시,민간,혜성산후조리원,충남 천안시 서북구 미라2길 18-11,041-570-9300,260,280
379,충남,천안시,민간,The앙즈로산후조리원,충남 천안시 서북구 불당26로 104,1644-0870,380,560
380,충남,천안시,민간,연세하임산후조리원,충청남도 천안시 동남구 수곡2길 17-17,041-412-5566,,280
381,충남,공주시,민간,미앤맘산후조리원,공주시 번영1로 124(신관동),041-840-1080,140,224
382,충남,아산시,민간,삼성미즈산후조리원,아산시 배방읍 희망로 46번길 16,041-980-0001,290,350
383,충남,아산시,민간,미즈산후조리원,충남아산시번영로204 아산메디타워4층,041-547-2024,240,
384,충남,아산시,민간,㈜다온미래산후조리원,"충남  아산시 배방읍 배방로 26, 7층 701호",041-549-3582,230,260
385,충남,서산시,민간,엠산후조리원,서산시 남부순환로 1031 2층,041-429-2004,266,
386,충남,서산시,민간,한마음산후조리원,서산시 율지4로 5(동문동),041-667-8560,240,260
387,충남,당진시,민간,미즈맘산후조리원,"당진시 당진중앙2로 415, 7~8층",041-351-7874,260,
388,충남,당진시,민간,도로시산후조리원,"당진시 시청1로 72, 3~5층",041-353-8483,240,
389,충남,홍성군,지자체,충남홍성공공산후조리원,홍성군 홍성읍 조양로 224 ,041-630-6384,182, 
390,전북,전주시,민간,미르피아산후조리원,전라북도 전주시 완산구 쑥고개로 343,063-211-1004,195,
391,전북,전주시,민간,세나산후조리원,전라북도 전주시 완산구 소대배기로 16,063-226-8230,166,200
392,전북,전주시,민간,우석대부속전주 한방병원산후조리원,전라북도 전주시 완산구 어은로 46 (5층),063-220-8300,245,295
393,전북,전주시,민간,한별산후조리원,"전라북도 전주시 덕진구 견훤로 215 (3,5,6층)",063-244-3572,180,280
394,전북,전주시,민간,정성산후조리원,전라북도 전주시 덕진구 도당산4길 8-18,063-244-4755,190,220
395,전북,전주시,민간,한나산후조리원,전라북도 전주시 덕진구 기린대로 489,063-250-3400,169,221
396,전북,군산시,민간,은혜산후조리원,군산시 월명로 144,063-471-2955,210,230
397,전북,군산시,민간,미래와여성산후조리원,전북 군산시 문화로 164,063-441-1170,200,210
398,전북,익산시,민간,휴산후조리원,"익산시 무왕로 1018, 6층",063-840-5060,250,
399,전남,목포시,민간,미즈아이산후조리원,목포시 백년대로418(옥암동),061-260-8820,210,
400,전남,목포시,민간,한사랑산후조리원,전남 목폭시 백년대로 335(상동 847-5),061-284-8855,190,
401,전남,여수시,민간,여수문화병원산후조리원,여수시 대치3길 26,061-650-5000,176,
402,전남,여수시,민간,예울산후조리원,여수시 신월로 114,061-655-3535,180,228
403,전남,순천시,민간 ,미즈산후조리원,순천시 조례1길 10-26,061-720-8300,240,440
404,전남,순천시,민간,마더힐산후조리원,"전남 순천시 충효로 15, 318호",061-745-5566,,396
405,전남,순천시,민간,현대여성아동병원산후조리원,전라남도 순천시 장선배기1길 8,061-729-8351,180,
406,전남,광양시,민간,미래여성산후조리원,전남 광양시 중마중앙로142,061-791-7094,168,175
407,전남,해남군,지자체,전남공공산후조리원1호점,전남 강진군 탐진로 5,061-430-1010,154,154
408,전남,강진군,지자체,전남공공산후조리원2호점,전남 해남군 해남읍 해남로 45,061-530-8650,154,
409,전남,완도군,지자체,전남공공산후조리원3호점,전라남도 완도군 완도읍 청해진동로63,061-555-3030,154,
410,전남,나주시,지자체,전남공공산후조리원4호점,"전라남도 나주시 정보화길 49, 2층",061-820-0854,154,
411,전남,순천시,지자체,전남공공산후조리원5호점,전라남도 순천시 장선배기1길 9,061-729-8681,154,
412,경북,포항시,민간,여성아이병원산후조리원,경상북도 포항시 북구 우창동로 22번길 7,054-230-3070,230,250
413,경북,포항시,민간,포항엘리시아산후조리원,경상북도 포항시 북구 법원로 98번길 12,054-248-0110,250,300
414,경북,포항시,민간,위드유산후조리원,"경상북도 포항시 북구 우창동로 30, 2층",054-256-0002,230,
415,경북,경주시,민간,맘존산후조리원,경상북도 경주시 원화로 315,054-749-7878,200,240
416,경북,김천시,지자체,김천시공공산후조리원,경북 김천시 모암사랑5길 11,054-420-7611,168,210
417,경북,안동시,민간,안동성소병원산후조리원,경상북도 안동시 서동문로 99,054-850-8430,218,
418,경북,구미시,민간,그린나래산후조리원,경상북도 구미시 산호대로24길 9-45 거상빌딩5층,054-476-8008,270,300
419,경북,구미시,민간,새봄산후조리원,경상북도 구미시 송원서로94,054-457-6100,240,
420,경북,구미시,민간,퀸스베이비산후조리원,경상북도 구미시 송원서로6길 19-1,054-443-5755,290,330
421,경북,구미시,민간,해피맘산후조리원,경상북도 구미시 신시로 74,054-458-0119,210,224
422,경북,영천시,민간,자혜의료재단산하산후조리원,경상북도 영천시 호국로 145,054-331-9966,200,220
423,경북,상주시,지자체,상주시공공산후조리원,경상북도 상주시 천봉서로 124,054-535-0035,180,
424,경북,울진군,지자체,울진군공공산후조리원,"경상북도 울진군 울진읍 현내항길 71, 울진군의료원",054-785-7900,182,
425,경남,창원시,민간,선린산후조리원,경상남도 창원시 성산구 가양로 124번길 7,055-286-6650,180,
426,경남,창원시,민간,파티맘산후조리원,경상남도 창원시 의창구 창원대로 397번길 34,055-276-6556,280,
427,경남,창원시,민간,한마음산후조리원,경상남도 창원시 의창구 용동로57번길 18,055-283-3055,390,420
428,경남,창원시,민간,모란산후조리원,경상남도 창원시 성산구 마디미서로 56,055-282-1600,420,450
429,경남,창원시,민간,마미캠프산후조리원,경상남도 창원시 성산구 상남로 73,055-286-3576,330,370
430,경남,창원시,민간,미즈맘산후조리원,경상남도 창원시 의창구 원이대로 285번길 6,055-277-2255,250,280
431,경남,창원시,민간,주)리베라산후조리원,경상남도 창원시 성산구 중앙대로 100번길 9,055-262-9922,300,378
432,경남,창원시,민간,맘스힐산후조리원,"경상남도 창원시 의창구 용동로83번안길3, 2층",055-274-3575,360,395
433,경남,창원시,민간,라움산후조리원,"경상남도 창원시 의창구 중동중앙로 83, 디세븐파크7층",055-276-9242,320,420
434,경남,창원시,민간,참여성병원산후조리원,경상남도 창원시 마산합포구 불종거리로 19 5층,055-249-0630,240,340
435,경남,창원시,민간,위드산후조리원,경상남도 창원시 마산회원구 양덕로 144 7층-10층,055-253-5555,330,370
436,경남,창원시,민간,온산후조리원,창원시 진해구 진해대로 776번길 27,055-541-3575,260,
437,경남,창원시,민간,예인산후조리원,창원시 진해구 진해대로 958,055-911-9571,210,230
438,경남,진주시,민간,참조은산후조리원,경상남도 진주시 진양호로 317 (신안동),055-742-8822,240,300
439,경남,진주시,민간,보람산후조리원,경상남도 진주시 진양호로 255,055-747-3585,250,290
440,경남,진주시,민간,미래여성산후조리원,경상남도 진주시 진주대로 957,055-760-8070,260,320
441,경남,통영시,민간,통영자모산후조리원,"통영시 무전대로4, 301호(장미빌딩)",055-646-3537,280,300
442,경남,김해시,민간,맘스드림산후조리원,경상남도 김해시 경원로55번길 12,055-331-1800,300,440
443,경남,김해시,민간,우리산후조리원,경상남도 김해시 내외중앙로 91,055-321-0114,220,280
444,경남,김해시,민간,더원산후조리원,경남 김해시 번화1로80번길5 메카빌딩9층,055-323-2701,250,
445,경남,김해시,민간,오즈산후조리원,경남 김해시 계동로203 오즈빌딩 5층,055-311-0202,230,290
446,경남,거제시,민간,엘르메디여성의원부설산후조리원,"경상남도 거제시 거제중앙로1925(고현동), 4층",055-638-0037,290,303
447,경남,양산시,민간,미즈모아산후조리원, 경남 양산시 양산역6길9 BYC 8 층,055-365-0202,200,240
448,경남,양산시,민간,에델산후조리원," 경남 양산시 물금읍 가촌리 1291-1, 5~6층",055-912-0700,260,320
449,경남,밀양시,지자체,밀양공공산후조리원,경상남도 밀양시 백민로 36-1,055-352-8006,160,
450,제주,제주시,민간,맘편한산후조리원,"제주시 1100로 3283, 2층(노형동)",064-711-3080,364,
451,제주,제주시,민간,로열프린세스산후조리원,"제주시 과원로 70, 3층",064-748-8855,480,501
452,제주,제주시,민간,프라임산후조리원,제주시 오남로 82(오라이동),064-702-1155,280,320
453,제주,제주시,민간,메종포레산후조리원,"제주시 서광로 83, 3층(용담이동)",064-712-8279,351,
454,제주,제주시,민간,제주메종포레산후조리원,"제주시 서광로 83, 4층(용담이동)",064-759-7838,351,416
455,제주,서귀포시,민간,서귀포의료원 부설산후조리원,서귀포시 장수로 47,064-730-3654,190,
456,제주,서귀포시,지자체,서귀포공공산후조리원,서귀포시 중앙로 125 ,064-762-3005,154,
